Real-time,Station1, Station2
1/1/2018 18:00,-1.025,0.009
1/1/2018 19:00,-1.027,0.008
1/1/2018 20:00,-1.023,0.126
1/1/2018 21:00,-1.024,0.011
1/1/2018 22:00,-1.023,
1/1/2018 23:00,-1.115,0.013
1/2/2018 0:00,-1.025,0.009
1/2/2018 1:00,-1.025,0.012
1/2/2018 2:00,-1.024,0.009
1/2/2018 3:00,-1.024,0.005
1/2/2018 4:00,-1.025,0.007
1/2/2018 5:00,-1.026,-0.009
1/2/2018 6:00,-1.025,
1/2/2018 7:00,-1.028,-0.012
1/2/2018 8:00,-1.03,0.062
1/2/2018 9:00,-1.029,0.069
1/2/2018 10:00,-1.027,0.039
1/2/2018 11:00,-1.025,0.121
1/2/2018 12:00,-1.025,0.133
1/2/2018 13:00,-1.024,0.021
1/2/2018 14:00,-1.02,0.88
1/2/2018 15:00,-1.022,0.017
1/2/2018 16:00,-1.024,0.007
1/2/2018 17:00,-1.023,0.013
1/2/2018 18:00,-1.025,0.013
1/2/2018 19:00,-1.024,0.018
1/2/2018 20:00,-1.022,
1/2/2018 21:00,-1.027,0.018
1/2/2018 22:00,-1.026,0.01
1/2/2018 23:00,-1.023,0.013
1/3/2018 0:00,-1.025,0.007
1/3/2018 1:00,-1.023,0.008
1/3/2018 2:00,-1.03,0.001
1/3/2018 3:00,-1.027,-0.004
1/3/2018 4:00,-1.027,-0.002
1/3/2018 5:00,-1.032,-0.006
1/3/2018 6:00,-1.034,-0.028
1/3/2018 7:00,-1.035,
1/3/2018 8:00,-1.034,-0.033
1/3/2018 9:00,  ,0.115
1/3/2018 10:00,  ,0.067
1/3/2018 11:00,-0.983,0.043
1/3/2018 12:00,-0.966,0.882
1/3/2018 13:00,-0.953,
1/3/2018 14:00,-0.888,0.184
1/3/2018 15:00,  ,0.192
1/3/2018 16:00,-0.867,0.108
1/3/2018 17:00,-0.078,0.106
1/3/2018 18:00,-0.079,0.108
1/3/2018 19:00,-0.855,0.117
1/3/2018 20:00,-0.871,0.113
1/3/2018 21:00,-0.083,0.097
1/3/2018 22:00,-0.872,0.09
1/3/2018 23:00,-0.08,
1/4/2018 0:00,-0.874,0.049
1/4/2018 1:00,-0.867,
1/4/2018 2:00,-0.876,0.043
1/4/2018 3:00,-0.879,0.089
1/4/2018 4:00,-0.871,0.109
1/4/2018 5:00,-1.269,0.883
1/4/2018 6:00,-0.87,0.004
1/4/2018 7:00,-0.864,0.889
1/4/2018 8:00,-0.856,0.024
1/4/2018 9:00,-0.867,0.046
1/4/2018 10:00,-0.873,0.041
1/4/2018 11:00,  ,0.077
1/4/2018 12:00,  ,
1/4/2018 13:00,  ,0.131
1/4/2018 14:00,-0.908,0.094
1/4/2018 15:00,-0.884,0.162
1/4/2018 16:00,-0.872,0.146
1/4/2018 17:00,-0.866,0.155
1/4/2018 18:00,-0.687,0.144
1/4/2018 19:00,  ,0.124
1/4/2018 20:00,  ,0.137
1/4/2018 21:00,-1.082,0.165
1/4/2018 22:00,-1.09,0.136
1/4/2018 23:00,-1.078,0.129
1/5/2018 0:00,-1.078,0.13
1/5/2018 1:00,  ,0.133
1/5/2018 2:00,  ,0.134
1/5/2018 3:00,-1.09,0.147
1/5/2018 4:00,-0.841,0.142
1/5/2018 5:00,-0.843,0.143
1/5/2018 6:00,-0.836,0.149
1/5/2018 7:00,-0.85,0.167
1/5/2018 8:00,-0.709,0.913
1/5/2018 9:00,-1.09,
