Real-time,RTD Average Upper Temperature (C)
2018-02-18 22:59:47,-7.689382
2018-02-18 23:59:56,-8.196892
2018-02-19 00:59:47,-9.237598
2018-02-19 01:59:47,-9.748644
2018-02-19 02:59:47,-10.23687
2018-02-19 03:59:47,-10.71318
2018-02-19 05:59:55,-10.94396
2018-02-19 06:59:52,-10.95703
2018-02-19 07:59:47,-10.93086
2018-02-19 08:59:49,-10.60673
2018-02-19 09:59:47,-10.27701
2018-02-19 10:59:47,-9.703719
2018-02-19 12:59:46,-8.318188
2018-02-19 13:59:47,-7.870385
2018-02-19 14:59:52,-7.743638
2018-02-19 15:59:47,-8.117078
2018-02-19 16:59:52,-8.548173
2018-02-19 17:59:49,-9.270433
2018-02-19 18:59:55,-9.609151
2018-02-19 19:59:54,-9.887874
2018-02-19 20:59:47,-10.4347
2018-02-19 21:59:47,-11.14556
2018-02-19 22:59:47,-11.48259
2018-02-19 23:59:48,-11.6327
2018-02-20 00:59:47,-11.94757
2018-02-20 01:59:47,-12.04981
2018-02-20 02:59:47,-12.04119
2018-02-20 03:59:53,-11.28016
2018-02-20 04:59:53,-11.96148
2018-02-20 05:59:47,-11.6029
2018-02-20 06:59:47,-11.64783
2018-02-20 07:59:52,-10.81035
2018-02-20 08:59:47,-10.0079
2018-02-20 09:59:51,-9.253406
2018-02-20 11:00:00,-8.577107
2018-02-20 11:59:47,-7.976548
2018-02-20 12:59:47,-7.606134
2018-02-20 13:59:47,-7.568136
2018-02-20 14:59:47,-7.589264
2018-02-20 15:59:46,-8.290664
2018-02-20 16:59:47,-8.942844
2018-02-20 17:59:47,-10.00052
2018-02-20 18:59:51,-9.24295
2018-02-20 19:59:46,-12.23238
2018-02-20 20:59:47,-12.3636
2018-02-20 21:59:47,-12.89541
2018-02-20 22:59:53,-13.47869
2018-02-20 23:59:55,-13.45483
2018-02-21 00:59:46,-13.31533
2018-02-21 01:59:46,-13.74455
2018-02-21 02:59:49,-13.77511
2018-02-21 03:59:47,-13.86017
2018-02-21 04:59:47,-13.23421
2018-02-21 05:59:54,-12.00456
2018-02-21 06:59:46,-11.1182
2018-02-21 07:59:54,-9.962094
2018-02-21 08:59:47,-8.891871
2018-02-21 09:59:47,-7.911515
2018-02-21 10:59:46,-6.92472
2018-02-21 11:59:46,-6.221707
2018-02-21 12:59:46,-6.013708
2018-02-21 13:59:46,-6.035403
2018-02-21 14:59:47,-5.289186
2018-02-21 15:59:53,-5.423519
2018-02-21 16:59:53,-8.103379
2018-02-21 17:59:55,-7.536829
2018-02-21 18:59:47,-9.163734
2018-02-21 19:59:46,-11.91202
2018-02-21 20:59:46,-12.24595
2018-02-21 21:59:53,-12.60343
2018-02-21 22:59:47,-12.64558
2018-02-21 23:59:46,-12.82943
2018-02-22 00:59:46,-13.0862
2018-02-22 01:59:52,-13.53499
2018-02-22 02:59:46,-13.95144
2018-02-22 03:59:46,-13.07989
2018-02-22 04:59:47,-12.37419
2018-02-22 05:59:47,-11.58637
2018-02-22 06:59:54,-11.46423
2018-02-22 07:59:46,-11.26477
2018-02-22 08:59:46,-9.983821
2018-02-22 09:59:47,-9.491842
2018-02-22 10:59:47,-9.736771
2018-02-22 11:59:46,-8.607153
2018-02-22 12:59:50,-7.735694
2018-02-22 13:59:54,-7.455173
2018-02-22 14:59:49,-7.213261
2018-02-22 15:59:46,-7.244635
2018-02-22 16:59:46,-7.248843
2018-02-22 17:59:47,-9.615481
2018-02-22 18:59:53,-11.29555
2018-02-22 19:59:54,-11.96825
2018-02-22 20:59:46,-11.92455
2018-02-22 21:59:46,-11.10503
2018-02-22 22:59:49,-9.68401
2018-02-22 23:59:53,-9.599528
2018-02-23 00:59:46,-10.07325
2018-02-23 01:59:46,-11.20085
2018-02-23 03:59:53,-10.26221
2018-02-23 04:59:46,-9.745762
2018-02-23 05:59:47,-9.317662
2018-02-23 06:59:49,-8.892586
2018-02-23 07:59:46,-8.227413
2018-02-23 08:59:46,-7.625686
2018-02-23 09:59:46,-7.304056
2018-02-23 10:59:54,-6.25066
2018-02-23 11:59:46,-5.867231
2018-02-23 12:59:46,-5.294732
2018-02-23 13:59:51,-5.01574
2018-02-23 14:59:47,-4.683197
2018-02-23 15:59:51,-5.556483
2018-02-23 16:59:54,-5.231638
2018-02-23 17:59:47,-6.52209
