Real-time,RTD Average Upper Temperature (C)
2018-02-13 10:00:57,-5.224013
2018-02-13 11:00:56,-4.876268
2018-02-13 12:01:05,-4.455188
2018-02-13 13:00:56,-4.054349
2018-02-13 14:00:56,-3.403123
2018-02-13 15:01:00,-3.241645
2018-02-13 16:00:57,-3.430228
2018-02-13 17:00:57,-3.739104
2018-02-13 18:00:56,-5.053629
2018-02-13 20:01:04,-7.270622
2018-02-13 21:00:56,-7.974314
2018-02-13 22:00:58,-8.828149
2018-02-13 23:00:56,-9.68897
2018-02-14 00:01:04,-9.834853
2018-02-14 01:00:56,-10.18734
2018-02-14 02:00:56,-10.36777
2018-02-14 03:00:56,-10.23286
2018-02-14 04:00:59,-10.10428
2018-02-14 05:01:03,-9.733254
2018-02-14 06:00:58,-9.174342
2018-02-14 07:00:56,-9.011041
2018-02-14 08:01:03,-8.684738
2018-02-14 09:01:05,-8.043481
2018-02-14 10:00:57,-7.698083
2018-02-14 11:00:57,-7.130222
2018-02-14 12:00:56,-7.010628
2018-02-14 13:00:56,-6.512512
2018-02-14 14:01:03,-6.141081
2018-02-14 15:00:58,-5.856574
2018-02-14 16:01:01,-6.081018
2018-02-14 17:00:56,-6.278356
2018-02-14 18:01:03,-6.162056
2018-02-14 19:00:57,-5.981466
2018-02-14 20:00:57,-6.308134
2018-02-14 21:00:57,-6.416435
2018-02-14 22:00:56,-6.617315
2018-02-14 23:00:56,-6.712012
2018-02-15 00:01:05,-7.051723
2018-02-15 01:01:03,-7.398879
2018-02-15 02:00:56,-7.96433
2018-02-15 03:00:56,-8.636606
2018-02-15 04:00:56,-8.962382
2018-02-15 05:01:03,-8.982934
2018-02-15 06:00:59,-8.678659
2018-02-15 07:00:57,-8.610629
2018-02-15 08:01:05,-8.300321
2018-02-15 09:00:58,-8.023699
2018-02-15 10:00:56,-7.854788
2018-02-15 11:01:05,-7.315837
2018-02-15 12:00:57,-6.730086
2018-02-15 13:00:56,-6.358144
2018-02-15 14:00:56,-6.523472
2018-02-15 15:00:57,-7.461386
2018-02-15 16:01:01,-6.624636
2018-02-15 17:00:57,-7.027307
2018-02-15 18:00:56,-8.356418
2018-02-15 19:01:01,-8.884374
2018-02-15 20:01:05,-8.674417
2018-02-15 21:00:57,-8.200085
2018-02-15 22:00:57,-8.665909
2018-02-15 23:00:56,-9.275474
2018-02-16 00:01:04,-10.6001
2018-02-16 01:00:56,-11.42147
2018-02-16 02:00:56,-12.37587
2018-02-16 03:00:56,-12.67376
2018-02-16 04:00:59,-13.04172
2018-02-16 05:00:56,-12.4363
2018-02-16 06:00:56,-12.28579
2018-02-16 07:00:56,-12.14403
2018-02-16 08:01:05,-11.47292
2018-02-16 09:00:56,-10.03091
2018-02-16 10:00:56,-9.153385
2018-02-16 11:01:03,-8.523298
2018-02-16 12:01:04,-8.109639
2018-02-16 13:00:56,-7.810422
2018-02-16 14:00:56,-7.554154
2018-02-16 15:00:57,-7.649614
2018-02-16 16:00:59,-7.941806
2018-02-16 17:00:56,-7.945178
2018-02-16 18:00:58,-9.872382
2018-02-16 19:01:03,-10.96617
2018-02-16 20:01:03,-11.7761
2018-02-16 21:00:59,-12.21789
2018-02-16 22:00:58,-12.66889
2018-02-16 23:01:05,-12.85626
2018-02-17 00:00:56,-13.13414
2018-02-17 01:00:56,-13.14444
2018-02-17 02:00:56,-13.23275
2018-02-17 03:00:56,-13.44497
2018-02-17 04:00:58,-13.16869
2018-02-17 05:01:03,-12.72683
2018-02-17 06:00:56,-12.16159
2018-02-17 07:00:56,-11.68049
2018-02-17 08:01:01,-11.02182
2018-02-17 09:01:04,-10.23655
2018-02-17 10:00:56,-9.598678
2018-02-17 12:00:56,-8.189569
2018-02-17 13:00:56,-7.826727
2018-02-17 14:00:56,-7.843398
2018-02-17 15:00:59,-8.216224
2018-02-17 16:00:59,-8.979966
2018-02-17 17:00:56,-10.17817
2018-02-17 18:01:04,-11.02409
2018-02-17 19:00:58,-11.80777
2018-02-17 20:00:56,-12.38199
2018-02-17 21:00:56,-12.74104
2018-02-17 22:00:56,-13.17091
2018-02-17 23:01:05,-13.77583
2018-02-18 00:00:59,-14.45296
2018-02-18 01:01:03,-14.82569
2018-02-18 02:01:03,-15.17868
2018-02-18 03:01:00,-15.55408
2018-02-18 04:00:57,-15.70096
2018-02-18 05:01:04,-15.61859
2018-02-18 06:00:56,-15.05171
2018-02-18 07:00:56,-14.44212
2018-02-18 08:01:05,-13.53151
2018-02-18 09:00:58,-12.74211
2018-02-18 10:01:01,-11.92839
2018-02-18 11:00:56,-11.36228
2018-02-18 12:00:56,-11.16932
2018-02-18 13:00:56,-10.8305
2018-02-18 14:01:03,-10.51375
2018-02-18 15:01:01,-10.467
2018-02-18 16:00:57,-9.836343
2018-02-18 17:01:02,-10.2957
2018-02-18 18:00:56,-9.820222
2018-02-18 19:00:56,-9.778717
2018-02-18 20:01:05,-9.73439
2018-02-18 21:00:56,-9.299678
2018-02-18 22:00:56,-8.978852
2018-02-18 23:00:57,-8.753022
2018-02-19 00:00:59,-8.979957
2018-02-19 01:00:56,-10.41297
2018-02-19 02:00:56,-11.2834
2018-02-19 03:00:56,-11.64229
2018-02-19 04:00:56,-12.24328
2018-02-19 05:00:56,-12.41507
2018-02-19 06:00:56,-12.34806
2018-02-19 07:00:56,-12.35732
2018-02-19 08:00:56,-12.34203
2018-02-19 09:00:56,-12.17158
2018-02-19 10:00:59,-11.67003
2018-02-19 11:00:56,-11.09758
2018-02-19 12:00:56,-10.44177
2018-02-19 13:00:56,-9.740844
2018-02-19 14:00:57,-9.553177
2018-02-19 15:00:57,-9.50577
2018-02-19 16:00:56,-10.13685
2018-02-19 17:00:56,-10.66093
2018-02-19 18:00:56,-11.32025
2018-02-19 19:00:59,-11.89621
2018-02-19 20:00:56,-12.16018
2018-02-19 21:00:56,-12.8084
2018-02-19 22:01:02,-12.73729
2018-02-19 23:01:04,-13.5961
